facet_id,facet_name,multi_selectable,searchable,option_id,option_name,number_of_matches,filter_data
RECENCY,Date posted,False,False,TODAY,Since yesterday,0,RECENCY==TODAY
RECENCY,Date posted,False,False,3DAYSAGO,Last 3 days,63,RECENCY==3DAYSAGO
RECENCY,Date posted,False,False,THIS_WEEK,Last week,289,RECENCY==THIS_WEEK
RECENCY,Date posted,False,False,2WEEKSAGO,Last 2 weeks,653,RECENCY==2WEEKSAGO
RECENCY,Date posted,False,False,THIS_MONTH,Last month,1122,RECENCY==THIS_MONTH
CONTRACT_TYPE,Contract type,True,False,1,Plazo indeterminado,404,CONTRACT_TYPE==1
CONTRACT_TYPE,Contract type,True,False,2,Plazo fijo,909,CONTRACT_TYPE==2
HOURS,Hours per week,True,False,1,Tiempo completo,1239,HOURS==1
HOURS,Hours per week,True,False,2,Tiempo parcial,64,HOURS==2
HOURS,Hours per week,True,False,3,Por horas,10,HOURS==3
SECTOR,Sector name,True,True,2,Agricultura/Ganadería,37,SECTOR==2
SECTOR,Sector name,True,True,3,Agropecuaria,14,SECTOR==3
SECTOR,Sector name,True,True,4,Arquitectura,4,SECTOR==4
SECTOR,Sector name,True,True,5,Automotriz,16,SECTOR==5
SECTOR,Sector name,True,True,6,Autopistas,0,SECTOR==6
SECTOR,Sector name,True,True,1,Aviación/Aeronaves/Astilleros,3,SECTOR==1
SECTOR,Sector name,True,True,7,Banca/Finanzas/Seguros,38,SECTOR==7
SECTOR,Sector name,True,True,8,Científica,0,SECTOR==8
SECTOR,Sector name,True,True,9,Comercial,147,SECTOR==9
SECTOR,Sector name,True,True,10,Comercio mayorista,44,SECTOR==10
SECTOR,Sector name,True,True,11,Comercio minorista,31,SECTOR==11
SECTOR,Sector name,True,True,12,Construcción,38,SECTOR==12
SECTOR,Sector name,True,True,14,Consultoría en RRHH,102,SECTOR==14
SECTOR,Sector name,True,True,13,Consultoría/Asesoría,45,SECTOR==13
SECTOR,Sector name,True,True,15,Consumo Masivo,21,SECTOR==15
SECTOR,Sector name,True,True,16,Cosmética y  Belleza,5,SECTOR==16
SECTOR,Sector name,True,True,17,Defensa,0,SECTOR==17
SECTOR,Sector name,True,True,18,Diseño y Decoración,3,SECTOR==18
SECTOR,Sector name,True,True,19,Educación,31,SECTOR==19
SECTOR,Sector name,True,True,20,Electrónica,3,SECTOR==20
SECTOR,Sector name,True,True,21,Entretenimiento,19,SECTOR==21
SECTOR,Sector name,True,True,22,Estudios Jurídicos,7,SECTOR==22
SECTOR,Sector name,True,True,23,Exportación e Importación,9,SECTOR==23
SECTOR,Sector name,True,True,24,Fabricación de sustancias y productos químicos,4,SECTOR==24
SECTOR,Sector name,True,True,25,Fabricación de vehículos y maquinaria,0,SECTOR==25
SECTOR,Sector name,True,True,26,Farmacéuticas,11,SECTOR==26
SECTOR,Sector name,True,True,27,Forestal/Papel y Celulosa,0,SECTOR==27
SECTOR,Sector name,True,True,28,Gobierno,33,SECTOR==28
SECTOR,Sector name,True,True,29,Hotelería / Turismo,29,SECTOR==29
SECTOR,Sector name,True,True,30,Imprenta / Editoriales,9,SECTOR==30
SECTOR,Sector name,True,True,45,Industria Metalmecánica,26,SECTOR==45
SECTOR,Sector name,True,True,31,Industrias varias,49,SECTOR==31
SECTOR,Sector name,True,True,32,Ingeniería,15,SECTOR==32
