ID_POSTULANTE,INSTITUCION
A1B9F8050FB246FBEC454302F6C14E22,SAN LUIS GONZAGA
A1B9F8050FB246FBEC454302F6C14E22,UNSM
A1B9F8050FB246FBEC454302F6C14E22,CEPRO SAN LUIS GONZAG
1AA7A8773E6A7FDACBCEDF9999009A38,
EF51E95CC22745740D4E8C771E011E1F,I.E.I LUCYANA UGEL 04 CARAYLLO
26178FC759D2B89C45DD31962F81DC61,IPAE 
DD542BB339E57D2BCF9BDBBF870AC74F,CONSORCIO TEPSUR
282BB8A7AFDB969E5AC8E1848F741D9A,IE FRANCISCO BOLOGNESI CERVANTES
8B73F6E0233D36B602D3380B92C24767,UNIVERSIDAD PRIVADA DEL NORTE
2FE37BD25993870F5A38563DD25B1D05,UNIVERSIDAD PARTICULAR DE CHICLAYO
1FB5E72BE96A57B7A3B995EE40C3E242,INSTITUTO ARZOBISPO LOAYZA
CCF4769973F7658AC976A063527C4292,LA INMACULA CONCEPCION 
73B973E8CB788AAACC0D76892F85A877,UNIVERSIDAD NACIONAL DE TRUJILLO
8A27C2DDC3D3FE74AA037F4B7D262E34,SENATI
8A27C2DDC3D3FE74AA037F4B7D262E34,ACADEMIA TESLA
142067752CDE9E3122C83CF00A8B2E70,UNIV NACIONAL DE UCAYALI
C8235AAA18AC5BA6964391CC3F5CD9DD,UCV
8A4D3214AF1524FD478F2E338C9295F2,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA
8A4D3214AF1524FD478F2E338C9295F2,CEVATUR
CEDB7F24376214D5FE503683CAC8AB74,COMPUTRON
E7A4012739E3665C560AD8026E4913F5,INSTITUTO AMERICANA DEL CUSCO 
1365EDF8483581968E9EC8A6091A27D0,UNIVERSIDAD PERUANA DE LAS AMERICAS
1365EDF8483581968E9EC8A6091A27D0,UNIVERSIDAD PERUANA DE LAS AMERICAS
1365EDF8483581968E9EC8A6091A27D0,UNIVERSIDAD PERUANA DE LAS AMERICAS
1365EDF8483581968E9EC8A6091A27D0,ESCUELA DE POSGRADO UNIVERSIDAD NACIONAL ENRIQUE GUZMAN Y VALLE
DA7327E0425C9F9B80F95ABEBEA29C3A,COMPUTADORA 
2894DCD561DDDA2954A024C081DB7E50,I.N.E.I ESTADOS UNIDOS
0D2BC6FD77BE0FA8EF1216F473EF9437,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN 
A2C259F1E513C05C0BE1BCA1FB9B3E86,COLEGIO JUAN VELASZO ALVARADO
F83869AE77689067777B6006D67B1FC1,INSTITUTO PERUANO DE PUBLICIDAD
C168F63A6D9AE39C96609868785F40D9,C.E. RODA MADRE MARIAN CARRIGAN
118F120E664E30D7394651A361A902F2,IE CESAR VALLEJO 7069
56E6C4F845217042EE69FD4415B9E14E,UNIVERSIDAD SAN JUAN BAUTISTA
596B42EB5FE47DE3F9348936BFBDC345,UNIVERSIDAD SAN LUIS GONZAGA DE ICA
043D17E34D04A220464464BC8F38147F,JOSE GABRIEL CONDORCANQUI 
043D17E34D04A220464464BC8F38147F,JOSE DEL CARMEN MARIN ARISTA
043D17E34D04A220464464BC8F38147F,FUNVAL
8B6C1203AA98DA1E60989C9B1C71E793,INSTITUTO SUPERIOR TÉCNICO ARGENTINA
D597E2F8CF3AE8680A1ACE171B13707F,IESP DE ALTA COCINA D'GALIA
83419FF790D5005F4C36805E7A3D0DFB,SAN JUAN
0A1CF196F96B84BEE97E93520F0DB72D,COLEGIO SALESIANO DON BOSCO
