ID_POSTULANTE,EDAD,SEXO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,ESTADO_CONADIS,DOC_ID
1AA7A8773E6A7FDACBCEDF9999009A38,33,M,LIMA,LIMA,LOS OLIVOS,150117,1,0ad30f48caef4f8bb5d724a78081083d
26178FC759D2B89C45DD31962F81DC61,55,M,LIMA,LIMA,LIMA,150101,1,05edf6e5b0cc49c995c3bb21021d8acd
A1B9F8050FB246FBEC454302F6C14E22,51,M,LIMA,LIMA,LIMA,150101,1,04aeb4df475448e483bfb50d880ca80a
CCF4769973F7658AC976A063527C4292,23,M,LIMA,LIMA,SANTA ANITA,150137,1,13961b5c978c47159c8c050c2b2336af
8B73F6E0233D36B602D3380B92C24767,39,M,CAJAMARCA,CAJAMARCA,CAJAMARCA,060101,1,17fd5e677bf64667bf995e2eb0327832
EF51E95CC22745740D4E8C771E011E1F,26,F,LIMA,LIMA,CARABAYLLO,150106,1,1ce76057768f4c9891f9d72a0dd89548
DD542BB339E57D2BCF9BDBBF870AC74F,30,M,CUSCO,CUSCO,SAN SEBASTIAN,080105,1,0d50dc1fbf0345a5855ceab49c759029
282BB8A7AFDB969E5AC8E1848F741D9A,31,M,LIMA,LIMA,INDEPENDENCIA,150112,1,10ec13f45cf843ac9922959b58864836
73B973E8CB788AAACC0D76892F85A877,49,M,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,1,10ea5f0c3a534fad8c0fde0cdff9e0cd
8A27C2DDC3D3FE74AA037F4B7D262E34,22,M,SAN MARTIN,MOYOBAMBA,YANTALO,220106,1,1ee93b6cad77417383525ecca25de7b5
1FB5E72BE96A57B7A3B995EE40C3E242,30,M,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,1,23c9dd4f194b42cb87bafd62b50322d9
2FE37BD25993870F5A38563DD25B1D05,35,M,LIMA,LIMA,SAN MIGUEL,150136,1,1b3918a0a1b449308a72162cac9ad4c4
E7A4012739E3665C560AD8026E4913F5,27,M,CUSCO,ANTA,LIMATAMBO,080306,1,0f3b65489a844999a399b817cfdab4bf
C8235AAA18AC5BA6964391CC3F5CD9DD,37,M,LIMA,LIMA,LA VICTORIA,150115,1,27e97e697f4a488786c4e3a0257add24
142067752CDE9E3122C83CF00A8B2E70,59,M,ICA,ICA,SALAS,110108,1,068cf27be45a4aad945718783e9c758c
DA7327E0425C9F9B80F95ABEBEA29C3A,30,M,LIMA,LIMA,CHORRILLOS,150108,1,b10f4a783c104252866b7c69f44f3a25
2894DCD561DDDA2954A024C081DB7E50,43,M,LIMA,LIMA,COMAS,150110,1,8dd189c6cf64424d9c8ef98690666692
8A4D3214AF1524FD478F2E338C9295F2,47,M,ICA,ICA,ICA,110101,1,260a5df4a64c4df1ba7ed22cf23382f6
CEDB7F24376214D5FE503683CAC8AB74,42,F,LIMA,LIMA,BREÑA,150105,1,0b7e82200828406e995790248a6d08c7
124C6149F09717E388E1F286163B130B,23,F,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,1,b5830513eab248bdbcd216b2ea9b5e55
893F93375B0B69EE6854A8C70AA78689,37,M,LIMA,LIMA,LOS OLIVOS,150117,1,f2f477c935314db38f12ffb0da40bcb8
1365EDF8483581968E9EC8A6091A27D0,44,F,LIMA,LIMA,EL AGUSTINO,150111,1,504cc75abbcc4a5e879a7644bd6a88cc
0D2BC6FD77BE0FA8EF1216F473EF9437,50,M,AREQUIPA,AREQUIPA,MIRAFLORES,040110,1,2eadc75dd0e6464cacefa6d561c74ac2
FB387072AD549C098928FCB1E0011533,24,M,LORETO,MAYNAS,NAPO,160107,1,bc0d203af8b74266ab688577a6963cb3
069041DB774C7C0BAA53B1779AE1E29B,51,M,SAN MARTIN,SAN MARTIN,MORALES,220910,1,5932fe9594e34d118d3873907f5f5911
F4AC38B57932845F1A5F7B569A364523,42,M,LIMA,LIMA,VILLA EL SALVADOR,150142,1,dff88f8983c44f9db9833f08ff904cd8
748129F3C8C47E317738DC6FFC11CDD1,34,M,CAJAMARCA,CHOTA,LAJAS,060410,1,a19e3a39ac254c22a8e4c9f934bc8227
D120DB565EF6583B6B850738DF6D89BE,31,M,LIMA,LIMA,COMAS,150110,1,ff3f0c07ee87469691b197e003560b34
A1B60CFA6B8B9E72A9B206C570FC4964,45,M,LA LIBERTAD,VIRU,VIRU,131201,1,485c4929dc834b37abc99f1fb1638afb
F41C67125B3D7164BAE64B3FF8D3BC87,58,M,LIMA,LIMA,INDEPENDENCIA,150112,1,35ace47116724884845e1f24734c45e8
B55CBAF159D9406F1AD739E1ABC8257F,43,F,LIMA,LIMA,PUEBLO LIBRE,150121,1,ad25dc2252ab4411a0546525d69845bc
DFB5185FCEBD36BE73800D8C7549B49F,51,M,MOQUEGUA,ILO,ILO,180301,0,4a932cc81d90418294bde45e681bc54d
C05A1A7EC49BC3608C9C8CBF57F331A6,44,M,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,230110,1,fb79d5b6f0374cd29be269bf18534b40
6EAEB92AA84721ED6E66F4C77CCFA308,54,F,LIMA,LIMA,LOS OLIVOS,150117,1,fcbe48e7498140d3833ad3bf9739379a
A42419F3420CC448A514307A35D8EDA2,32,M,CALLAO,CALLAO,CALLAO,070101,1,60c4ef42cb7b4790b692629e956735c5
8FD7F8741825334334A31AD8EB493A9A,22,M,LIMA,LIMA,CHORRILLOS,150108,1,384c57c0f8c145e8ad44f1ac194ebc9b
8F0A57CCA51A04DA9CEEC67FED0BC336,26,M,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,040129,1,a2ba3a2f8712466b8e226a83ddbba8c6
3ECF70058911D495069EC09C0C8C9190,48,M,LIMA,LIMA,CHORRILLOS,150108,1,baece2ee6fa94f7f9d517e777c63b2db
C91DD9B1F71A74670FF5F33C74AB5153,35,M,LIMA,HUAURA,HUACHO,150801,1,2f5e55b04fdf439d9f668f60e7d1bd9e
A8B32485EA3DAFD7C06F87AFE4F7C6D2,38,M,CALLAO,CALLAO,BELLAVISTA,070102,1,a3ca7e1946594b3d9941010b91e5b256
55FC6A1AD0E0E6D08E340A8B92BF5940,24,F,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,1,c14ab9a950ee4d82a000ef9a8e9b16ea
49707CF9A38A9B8EE27E0DE996121283,46,M,LIMA,LIMA,COMAS,150110,1,719436b4526d4a4684ea7bcd2f014fac
F83869AE77689067777B6006D67B1FC1,53,M,LIMA,LIMA,LA MOLINA,150114,1,7ef0f0c6e856403aa072c2bc1f5f69a5
8B6C1203AA98DA1E60989C9B1C71E793,46,M,LIMA,HUAROCHIRI,SAN ANTONIO,150716,1,459d0e961b444c6aa050be257f01afdf
C168F63A6D9AE39C96609868785F40D9,37,M,LIMA,LIMA,VILLA EL SALVADOR,150142,1,e87552666bbd479cb90b6785399445d6
D597E2F8CF3AE8680A1ACE171B13707F,26,M,LIMA,LIMA,CARABAYLLO,150106,1,fd9013d4393b4b11b86edb0c9a2247fe
043D17E34D04A220464464BC8F38147F,46,M,LIMA,LIMA,INDEPENDENCIA,150112,1,4008e2a81b384954a721b54b3512c23a
D66B2EC6D1E1153B946ACFE6CF79C23A,27,M,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,1,80491c165aa14f98b34dc0cb98a46d7f
879524F6284D9922DE824C77C4A03141,32,M,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,1,7dc04fb234e44f8fbfcb28a1752192c9
5753173375A87557DBFDCF86173A1C34,34,F,LIMA,LIMA,VILLA EL SALVADOR,150142,1,9b07b2782ea54c92bc925396a3ce349e
596B42EB5FE47DE3F9348936BFBDC345,58,M,ICA,ICA,ICA,110101,1,d8a0312c5d8d4297bf10989bc0cfcfda
C3DAAD88815773A4A2A5311F841F3EFE,25,M,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,1,f56b5b20c2bc4640b7faa16c98f4071f
